titulo,mais tocada,letra,compositor
Amor Quente,0,"Preto no branco Amarelo, um pouco de azul Noite estrelada Peito feliz </p>Olho no olho Pintura a quatro mãos Tintas claras O mesmo cigarro Isso é amor Amor quente</p>Água de coco pra dois Porta do carro aberta Vento morno da areia Palavras mentirosas Isso é amor Amor quente</p>Cama de casal Luz bem baixinha pra ver Gemidos de dor e alegria Sair de si por três minutos Isso é amor Amor quente</p>Supermercado, escolher iogurte Fazer compras juntas Brigar por besteira Isso é amor Amor quente</p>Tomar café, banho, brisa Champanhe, tristeza, beleza Cremes, músicas, sucos, água Drogas, fumo, passar perfume Isso é amor Amor quente</p>",cazuza / humberto gessinger / renato ladeira
"Amor, Meu Grande Amor",0,"Amor, meu grande amor Não chegue na hora marcada Assim como as canções como as paixões E as palavras Me veja nos seus olhos Na minha cara lavada Me venha sem saber Se sou fogo ou se sou água </p>Amor, meu grande amor Me chegue assim bem de repente Sem nome ou sobrenome Sem sentir o que não sente</p>Que tudo que ofereço É meu calor, meu endereço A vida do teu filho Desde o fim até o começo</p>Amor, meu grande amor Só dure o tempo que mereça E quando me quiser Que seja de qualquer maneira Enquanto me tiver Que eu seja a última e a primeira E quando eu te encontrar, meu grande amor Me reconheça</p>Amor, meu grande amor Que eu seja a última e a primeira E quando eu te encontrar, meu grande amor Por favor, me reconheça</p>",ana terra / angela ro ro
Andróide Sem Par,0,Passeando outro dia Meus Rayban escuros Eu conheci um andróide Sem par nem futuro </p>Porque também não existe mais nenhum futuro Não tem sonho nenhum Ele nada espera Por isso nem repara A manha do poeta Porque também não existe nenhuma saudade (não) Não existe maldade Na terra do andróide sem par</p>Uns viram Messias E andam no mar Uns andam armados Pra te matar Fazem amor por esporte Vivem a vida Não pensam na morte</p>,cazuza / nilo romero
As Moças do Centro,0,"De segunda à domingo Trabalhamos, amigo Servimos de abrigo Inventamos luz </p>Vendemos saúde Que Deus nos ajude Se a vida é promessa Queremos ""de luxe""</p>Gostamos de escuro Sol ou meia luz Se a vida é pesada A culpa é da cruz</p>Gostamos de curto Gostamos de comprido Pra nós tanto faz O tamanho da vida</p>Sem radicalismo Nós somos veneno</p>Eu quis fazer um mundo nosso Um tempo nosso pressentido Numa troca de olhares Mas você só quer os bares O imprevisível dos lugares Perdidos sem mim</p>Quis dividir o nosso íntimo O teu segredo mais ínfimo Mas você só quer o tango Mas você só pensa num rango Na primeira esquina</p>",cazuza
Ataque de Nervos,0,"Vou ter um ataque de nervos Vou ter, sinto minhas veias pulsarem Vou ter um ataque, mas antes eu ataco Quero um downer, um down Estou ficando maluco Camisas de força, por favor Qualquer coisa Vou ter um ataque de nervos E me jogar do sexto andar Deus me proteja Vou ter um ataque de nervos </p>",cazuza
Aula,0,Era assim O homem que me ensinava a natureza Eu ia em suas costas menino Sentia o suor quente em suas costas E uma alegria sem sentido </p>Depois veia a mata grossa Onde a morte brincava de perigo Éramos nós dois e uma trilha no mato E a tal floresta que não era Me ensinou o nome dos pássaros E o impossível do vôo Depois veio a praia sem segredos E um poema que veio na hora</p>Era assim: O homem me ensinava a natureza Da mulher e do que ela espera: Um homem que a proteja E pague seu amor</p>Um homem que a maltrate E viva do seu amor Um homem simplesmente Que lhe inche a barriga</p>E que a mulher é o demônio Disfarçado de anjo E que é preciso tomar muito cuidado Porque são belas dissimuladas</p>Falou dos homens com são ingênuos Com suas brincadeiras de guerra De como são a massa crua E a mulher a folheada</p>Era assim: O homem me ensinava a natureza E eu ia em suas costas menino</p>,cazuza
Aviador Maluco,0,"Eu acho que ele ficou maluco De tanto voar e voar Nos cruzeiros malucos do ar </p>Socorro, meu comandante! Não tenho rota e nem sei mais a distância Entre o Pará e a China</p>Por que nós que salvamos vidas Somos pessoas tão fracas? O piloto está maluco E a nossa vida só vale um minuto</p>",cazuza
Azul e Amarelo,0,"Anjo bom, anjo mau Anjos existem E são meus inimigos E são amigos meus E as fadas As fadas também existem São minhas namoradas Me beijam pela manhã Gnomos existem E são minha escolta Anjos, gnomos Amigos e amigos Tudo é possível Outra vida futura, passada Viagens, viagens Mas existem também drogas pra dormir E ver os perigos no meio do mar No sono pesado, tudo meio drogado Existem pessoas turvas, pessoas que gostam E eu tô de azul e amarelo amarelo,azul e amarelo </p>Senhores deuses, me protejam De tanta mágoa Tô pronto para ir ao teu encontro Mas não quero, não vou, não quero Não quero, não vou, não quero</p>",lobao / cazuza / cartola
Baby Lonest,0,"Baby lonest Ninfa do asfalto Todo o ocidente nos ombros Que a noite defloram dentes E depois adormecem </p>A vida entre alôs e beijos Os sábados na cidade De Telerj em Telerj O amor te deixa em cacos</p>Metade da mesada em fichas E os corações ocupados</p>Não chore, baby, não chore Oh, baby, não chore</p>Amanhã tem revolution Amanhã tem Amanhã tem revolution Amanhã tem</p>Baba baby, ninfa do asfalto Todo o ocidente nos ombros Que a noite defloram dentes E depois adormecem</p>A vida entre alôs e beijos Os sábados na cidade Bah!! De Telerj em Telerj O amor te deixa em cacos</p>Não chore, baby Oh, baby, não chore</p>Amanhã tem baby lonest Amanhã tem Amanhã tem baby lonest Amanhã tem</p>",lobao / cazuza / leducha
Baby Suporte,0,"Suporte baby, baby suporte,Suporte baby, baby suporte Amor escravo de nenhuma palavra, Não era isso que você procurava, Não viu no fundo da retina a mágoa A luz confusa onde tudo é o nada A esperança está grudada na carne Que diferença há entre o amor e o escárnio ? Cada carinho é o fio de uma navalha Oh! Baby não chore Foi apenas um corte A vida é bem mais perigosa que a morte Suporte oh, baby suporte Suporte baby, baby suporte,Suporte baby, baby suporte Suporte baby, baby suporte,Suporte baby, baby suporte Amor escravo de nenhuma palavra, Não era isso que você procurava, Não viu no fundo da retina a mágoa A luz confusa onde tudo é o nada A esperança está grudada na carne Que diferença há entre o amor e o escárnio ? Cada carinho é o fio de uma navalha Oh! Baby não chore Foi apenas um corte A vida é bem mais perigosa que a morte Suporte oh, baby suporte Suporte baby, baby suporte,Suporte baby, baby suporte </p>",nao identificado
Balada de Um Vagabundo,0,"Eis o Sol, eis o Sol Apelidado de astro-rei Eis que achei o grande culpado Desse meu viver destrambelhado D'eu perambular pirado Meu coração lacrado Maracujá de gaveta dum prédio Vazio num terreno baldio Sepultado e logo após abandonado Repare o crime senhor juiz Pare senhor juiz Ignoro a rua, o bairro e a carteira de identidade Não me pergunte de ser portador Do número xis do CIC Me deixa feliz Serei chegado a um sal Qual a espada afiada que separa O bem do mal? Eis o Sol, eis o Sol Apelidado de astro-rei Eis que achei o grande culpado Do meu viver destrambelhado Me viro no ce do centro No porta-malas da estação central Dançarei pelado na cratera da lua Mesmo sem saber onde termina A minha e onde começa a tua Rebolarei embaixo da marquise Triste trópico paraíso Se eu dissesse que eu ia Você ia e eu não ia Deixa a tristeza deitar Rolar na minha cama Um milhão, trilhão de vezes Reviro alegria Salto pro amor Um vício só pra mim não basta É uma inflação de amor incontrolável Tá lotado, tá repleto de virtude E vício meu céu Um galo sozinho levanta a crista E cocorica seu escarcéu Um vício só pra mim é pura cascata Eu marco treze pontos Sou pule premiada no jogo do bicho Eu sou o beijo da boca do lixo na boca do luxo Eu sou o beijo da boca do luxo na boca do lixo </p>",wally salomao / roberto frejat
Balada do Esplanada,0,"Ontem de noite eu procurei Ver se aprendia como é que se fazia Uma balada, antes de ir pro meu hotel </p>É que esse coração Já se cansou de viver só E quer então Morar contigo no Esplanada Contigo no Esplanada</p>Pra respirar Abro a janela Como um jornal Eu vou fazer a balada Fazer a balada Do Esplanada e ficar sendo o menestrel E ficar sendo O menestrel do meu hotel Do meu hotel</p>Mas não há poesia em um hotel Nem mesmo sendo O Esplanada, um grande hotel Há poesia na dor, na flor, no beija-flor Na dor, na flor, no beija-flor, no elevador No elevador</p>",cazuza / oswald de andrade
Bete Balanço,1,"Pode seguir a tua estrela O teu brinquedo de star Fantasiando um segredo No ponto a onde quer chegar </p>O teu futuro é duvidoso Eu vejo grana, eu vejo dor No paraíso perigoso Que a palma da tua mão mostrou</p>Quem vem com tudo não cansa Bete balança, meu amor Me avise quando for a hora</p>Não ligue pr'essas caras tristes Fingindo que a gente não existe Sentadas, são tão engraçadas Dona das suas salas</p>Pode seguir a tua estrela O teu brinquedo de star Hummm! Fantasiando um segredo No ponto a onde quer chegar</p>O teu futuro é duvidoso Eu vejo grana, eu vejo dor No paraíso perigoso Que a palma da tua mão mostrou</p>Quem vem com tudo não cansa Bete balança o meu amor Me avise quando for a hora</p>Quem tem um sonho não dança Bete Balanço, por favor! Me avise quando for embora</p>",cazuza / roberto frejat
Bicho Humano,0,"Dance Eu quero que você me canse Até o sol raiar Canse Eu quero ver você em transe Me chamar, me chamar Me gritar pedindo, deixando Bicho humano uivando Bicho humano uivando Eu não te amo, não Eu não te amo, não </p>Dance Eu quero aproveitar a chance E me acabar Canse Eu quero que você me alcance Na hora H, na hora H Me gritar pedindo, deixando Bicho humano uivando Bicho humano uivando Eu não te amo Não, eu não te amo, não</p>",cazuza / roberto frejat
Bilhetinho Azul,0,"Hoje eu acordei com sono e sem vontade de acordar o meu amor foi embora e só deixou pra mim um bilhetinho todo azul com seus garranchos </p>Que dizia assim ""Chuchu vou me mandar!"" é eu vou pra Bahia (pra bahia) talvez volte qualquer dia o certo é que eu tô vivendo eu tô tentando Uuu!!! Nosso amor, foi um engano</p>Hoje eu acordei com sono e sem vontade de acordar como pode alguém ser tão demente, porra louca inconsequente e ainda amar, ver o amor  como um abraço curto pra não sufocar ver o amor como um abraço curto pra não sufocar</p>",cazuza / frejat
Billy Negão,0,"Eu conheci um cara num bar lá do Leblon Foi se apresentando: ""Eu sou Billy Negão A turma da Baixada fala que eu sou durão Eu só marco touca é com o coração"" </p>""Bati uma carteira pra pagar o meu pivô Sorri cheio de dentes pro meu amor Ela nem ligou, foi me xingando de ladrão Pega ladrão! Pega ladrão!""</p>""Alguém passava perto e, sem querer, escutou Correu no delegado e me dedurou E logo a rua inteira caiu na minha esteira Pois nessa D.P. eu tava a maior sujeira""</p>E nesse instante eu vi parar o camburão E o Billy ""sartô"" fora com a minha grana na mão Deixou na minha conta um conhaque de alcatrão Pega ladrão, pega ladrão!</p>Billy dançou, dançou, coitado Billy dançou, é, foi baleado Billy dançou, coitado Billy dançou, foi enjaulado Foi autuado, enquadrado, condenado Um pobre coração rejeitado</p>",cazuza / guto goffi / mauricio barros
Blitz,0,"Olhe bem, pode dar uma geral Na minha bolsa Tudo o que eu quero, baby, É que você me encontre </p>Meu coração tá aberto E as minhas malas desfeitas Eu não vou embora tão cedo...</p>Olhe bem, remexa as minhas coisas Em algum bolso, alguma manga da blusa Está aquela carta roubada Num jogo de paixão</p>Não se espante, é o destino Eu fui apenas um bom aluno Meu mal é gostar de pessoas como você Que não entendem nada de amor</p>Eu sei que você quer carinho Eu ando mesmo sozinho Roubado das coisas que eu quis Seria tão bom se eu te amasse Você é forte e feliz</p>Se a gente escolhesse na vida Amor feito profissão Se a força motriz que me anima Não me tirasse a razão Eu te daria uma rosa Toda prosa por mim</p>Meu sonho eu perdi pelas ruas Você é não mais procurar Eu vivo ensopado de chuva Você é um chuveiro de paz</p>Seria tão bom se eu te amasse Seria tão bom se bastasse Teu mar morto de ternura Depois de tanta loucura Seria tão bom se eu te amasse...</p>",cazuza
