titulo,mais tocada,letra,compositor
A Virgem de Macarena,0,A noite quando me deito Eu rezo a virgem de macarena </p>Assim sozinho em meu quarto Falo á virgem santa todo o meu tormento</p>É de coração que eu peço Que alguém um dia me queira Que me abrace com ternura E me beije com doçura</p>Oh virgem santa Oh virgem santa Porque sofro tanto ?</p>Ouve o que pede Ouve o que pede A angústia do meu pranto</p>Porque oh santa querida Não encontro na vida Alguém para o meu amor</p>Alguém que seja ternura E viva comigo Por sonhos que sonhei</p>É de coração que eu peço Que alguém um dia me queira Que me abrace com ternura E me beije com doçura</p>Ouve o que pede Ouve o que pede Minha alma aflita Minha virgem santa Minha virgem santa de Macarena</p>,nao identificado
A Volta,0,"Quero ouvir a tua voz E quero que a canção seja você E quero, em cada vez que espero Desesperar, se não te ver É triste a solidão É longe o não te achar É lindo é o teu perdão Que festa é o teu voltar Mas quero que você me fale Que você me cale Caso eu perguntar Se o que te fez mas lindo ainda Foi a tua pressa de voltar Levanta e vem correndo Me abraça e sem sofrer Me beija longamente O quanto a solidão precisa pra morrer Levanta e vem correndo Me me abraça e sem sofrer Me beija longamente O quanto a solidão precisa pra morrer O quanto a solidão precisa pra morrer </p>",roberto menescal
A Voz do Morro,0,"Eu sou o samba A voz do morro sou eu mesmo sim senhor Quero mostrar ao mundo que tenho valor Eu sou o rei do terreiro Eu sou o samba </p>Sou natural daqui do Rio de Janeiro Sou eu quem levo a alegria Para milhões de corações brasileiros</p>Salve o samba, queremos samba Quem está pedindo é a voz do povo de um país Salve o samba, queremos samba Essa melodia de um Brasil feliz</p>",ze keti
Acender as Velas,0,Acender as velas Já é profissão Quando não tem samba Tem desilusão É mais um coração Que deixa de bater Um anjo vai pro céu Deus me perdoe Mas vou dizer O doutor chegou tarde demais Porque no morro Não tem automóvel pra subir Não tem telefone pra chamar E não tem beleza pra se ver E a gente morre sem querer morrer </p>,ze keti
Agnus Sei,0,"Faces sob o sol, os olhos na cruz Os heróis do bem prosseguem na brisa da manhã Vão levar ao reino dos minaretes a paz na ponta dos arietes A conversão para os infiéis </p>Para trás ficou a marca da cruz Na fumaça negra vinda na brisa da manhã Ah, como é difícil tornar-se herói Só quem tentou sabe como dói vencer Satã só com orações Ê andá pa Catarandá que Deus tudo vê Ê andá pa Catarandá que Deus tudo vê Ê anda, ê orar, ê mandar, ê matar, responderei não!</p>Dominus dominium juros além Todos esses anos agnus sei que sou também Mas ovelha negra me desgarrei, o meu pastor não sabe que eu sei Da arma oculta na sua mão</p>Meu profano amor eu prefiro assim A nudez sem véus diante da Santa-Inquisição Ah, o tribunal não recordará dos fugitivos de Shangri-Lá O tempo vence toda a ilusão</p>",aldir blanc / joao bosco
Agora Tá,0,"Já que tá aí Pela metade, mas tá Melhor cuidar Pra peteca não cair Pra não deixar escapulir Como água no ralo </p>Aquilo que já fez calo Doeu feito joanete Castigou nosso cavalo Cortou como canivete</p>Feriu, mexeu, mixou Nunca comeu melado Vai lambuzar Se vacilar, pode cantar pra subir Porque não dá pra começar todo rolo de novo</p>Se o bolo fica sem ovo Se a massa não tem fermento Se não cozinha por dentro Vai tudo por água abaixo</p>Eu acho, acho, acho que agora tá Quase no ponto tá No ponto de provar Eu acho que agora tá No ponto de solar</p>Já que tá aí Pela metade, mas tá É melhor cuidar Pra peteca não cair Pra não deixar escapulir Como água no ralo</p>Aquilo que já fez calo Doeu feito joanete Castigou nosso cavalo Cortou como canivete</p>Feriu, mexeu, mixou Nunca comeu melado Vai lambuzar Se vacilar, pode cantar pra subir Porque não dá pra começar todo rolo de novo</p>Se o bolo fica sem ovo Se a massa não tem fermento Se não cozinha por dentro Vai tudo por água abaixo</p>Eu acho, acho, acho que agora tá Quase no ponto, tá No ponto de provar Eu acho que agora tá No ponto de solar</p>Acho que agora tá Pra lá de pronto, tá Acho que agora tá Acho que agora tá</p>",tunai
Águas de Março,1,"É pau, é pedra É o fim do caminho É um resto de toco É um pouco sozinho </p>É um caco de vidro É a vida, é o Sol É a noite, é a morte É um laço, é o anzol</p>É peroba do campo O nó da madeira Caingá, candeia É o matinta-pereira</p>É madeira de vento Tombo da ribanceira É um mistério profundo É o queira ou não queira</p>É o vento ventando É o fim da ladeira É a viga, é o vão Festa da cumieira</p>É a chuva chovendo É conversa ribeira Das águas de março É o fim da canseira</p>É o pé é o chão É a marcha estradeira Passarinho na mão Pedra de atiradeira</p>É uma ave no céu É uma ave no chão É um regato, é uma fonte É um pedaço de pão</p>É o fundo do poço É o fim do caminho No rosto o desgosto É um pouco sozinho</p>É um estrepe, é um prego É uma ponta, é um ponto É um pingo pingando É uma conta, é um conto</p>É um peixe, é um gesto É uma prata brilhando É a luz da manhã É o tijolo chegando</p>É a lenha, é o dia É o fim da picada É a garrafa de cana Estilhaço na estrada</p>É o projeto da casa É o corpo na cama É o carro enguiçado É a lama, é a lama</p>É um passo, é uma ponte É um sapo, é uma rã É um resto de mato Na luz da manhã</p>São as águas de março Fechando o verão É a promessa de vida No teu coração</p>É uma cobra, é um pau É João, é José É um espinho na mão É um corte no pé</p>São as águas de março Fechando o verão É a promessa de vida No teu coração</p>É pau, é pedra É o fim do caminho É um resto de toco É um pouco sozinho</p>É um passo, é uma ponte É um sapo, é uma rã É um belo horizonte É uma febre terçã</p>São as águas de março Fechando o verão É a promessa de vida No teu coração</p>Pau, erda Im, inho Esto, oco Oco, inho Aco, idro Ida, ol Oite, orte Aço, zol</p>São as águas de março Fechando o verão É a promessa de vida No teu coração</p>",antonio carlos jobim
Aleluia,0,"Barco deitado na areia não dá pra viver, não dá Lua bonita sozinha não faz o amor, não faz Toma decisão, aleluia! Que um dia o céu vai mudar Quem viveu a vida da gente tem que se arriscar Amanhã é teu dia amanhã é teu mar, teu mar E se o vento da terra que traz teu amor, já vem Toma decisão, aleluia! Lança teu saveiro no mar Bê-á-bá de pesca é coragem, ganha o teu lugar </p>Vocalização </p>Mesmo com a morte esperando eu me largo pro mar, eu vou Tudo que sei é viver e vivendo é que eu vou morrer Toma decisão, tá na hora! Que um dia o céu vai mudar Quem não tem mais nada a perder só vai poder ganhar Só vai poder ganhar Vai poder ganhar Poder ganhar Ganhar</p>",tetes raides / rey guerra
Alô Saudade,0,(2x): Telefonei para saudar-te  Dizendo a ela o que sentia  Como ela troxe a solução  Meu coração logo esqueceu  Toda paixão acreditei No que foi prescrito E em tudo que eu não Acreditava depois do tempo Em que levei sofrendo assim Felicidade voltou pra mim </p>Acreditei No que foi prescrito E em tudo que eu não Acreditava depois do tempo Em que levei sofrendo assim  Alô saudade Felicidade voltou pra mim</p>,paulo aguiar / umberto silva
"Alô, Alô, Marciano",1,"Alô, alô, marciano Aqui quem fala é da Terra Pra variar, estamos em guerra Você não imagina a loucura O ser humano tá na maior fissura, porque Tá cada vez mais down the high society </p>Down, down, down The high society Down, down, down The high society Down, down, down The high society Down, down, down</p>Alô, alô, marciano A crise tá virando zona Cada um por si Todo mundo na lona E lá se foi a mordomia Tem muito rei aí pedindo alforria, porque Tá cada vez mais down the high society</p>Down, down, down The high society Down, down, down The high society Down, down, down The high society Down, down, down</p>Alô, alô, marciano A coisa tá ficando russa Muita patrulha, muita bagunça O muro começou a pichar Tem sempre um aiatolá pra atola, alá Tá cada vez mais down the high society</p>Down, down, down The high society Down, down, down The high society Down, down, down The high society Down, down, down</p>Alô, alô, marciano Aqui quem fala é da Terra Pra variar, estamos em guerra Você não imagina a loucura O ser humano tá na maior fissura, porque Tá cada vez mais down the high society</p>Down, down, down The high society Down, down, down The high society</p>Ui, gente fina é outra coisa, entende? Down, down, down, down High society Down, down, down, down, down High society</p>Hoje não se fazem mais countries como antigamente, não é? High society, high society, high society, high society Down, down, down High society Down, down, down, down down High society</p>Ai, que chique é o jazz, meu Deus Down, down, down High society Down, down, down Ah, Deus</p>",rita lee / roberto de carvalho
