titulo,A Palo Seco,Aguapé,Alucinação,Amor de Perdição,Amor e Crime,Apenas Um Rapaz Latino Americano,Arte Final,Até Amanhã,Ate Mais Ver,Baihuno,Balada de Madame Frigidaire,Balada do Amor,Bebelo,Beijo Molhado,Bel Prazer,Bossa Em Palavrões,Brasileiramente Linda,Brincando Com a Vida,Brotinho de Bambu,Canção de Gesta de Um Trovador Eletrônico,Carisma,Caso Comum de Trânsito,Clamor No Deserto,Comentários a Respeito de John,Como Nossos Pais,Como Se Fosse Pecado,Conheço o Meu Lugar,Coração Selvagem,Corpos Terrestres,Cuidar do Homem,Dandy,De Primeira Grandeza,Depois Das Seis,Divina Comédia Humana,"Do Mar, do Céu, do Campo",E Que Tudo Mais Vá Para o Céu,Elegia Obscena,Em Resposta à Carta de Fã,Espacial,Extra Cool,Fotografia 3X4,"Galos, Noites e Quintais",Humano Hum,Jornal Blues (Canção Leve de Escárnio e Maldizer),Kitsch Metropolitanus,La Vida Es Sueño,Lamento do Marginal Bem Sucedido,Lira dos Vinte Anos,Máquina II,Medo de Avião,Meu Cordial Brasileiro,Meu Nome é Cem,Monólogo das Grandezas do Brasil,Mote e Glosa,Mucuripe,Na Hora do Almoço,Nada Como Viver,Não Leve Flores,No Maior Jazz,Notícia de Terra Civilizada,Num País Feliz,Objeto Direto,Ondas Tropicais,Onde Jazz Meu Coração?,Os Derradeiros Moicanos,Os Profissionais,Paraíso,Paraíso (1982),Paralelas,Pequeno Mapa do Tempo,Pequeno Perfil de Um Cidadão Comum,Ploft,Populus,Princesa do Meu Lugar,Quinhentos Anos de Quê?,Recitanda,Retórica Sentimental,Rock Romance de Um Robô Goliardo,S.A.,Se Você Tivesse Aparecido,Seixo Rolado,Senhoras do Amazonas,Sensual,Sujeito de Sorte,Tambor Tantã,Tocando Por Música,Todo Sujo de Batom,Tudo Outra Vez,Viva La Dolcezza,Voz da América,Ypê
A Palo Seco,0.9999999999999996,0.02790226337762286,0.04277369474103663,0.05853534754850062,0.04713324425784374,0.13202616081274887,0.101326078632705,0.02730603780886833,0.047725075047187746,0.12439727646802949,0.10679774453317953,0.10971513640550087,0.0,0.0746365475266573,0.06453398399293976,0.06084112210796707,0.024106065938883103,0.08480946158133802,0.06633904307685626,0.050184209954354596,0.05313802144287484,0.1116005732054837,0.17550145249567078,0.073193235631689,0.1522821040765658,0.11524861826609932,0.13144692460399895,0.14401082522878383,0.009576037203077523,0.09086601059702984,0.09017907249016353,0.0914436885934785,0.11493206331662792,0.11431969681278766,0.03836352150928145,0.1025533239634628,0.04620193955689804,0.10594820996980381,0.06126104328104183,0.028119423356837932,0.15789724617201478,0.152611158308206,0.05564082440112968,0.15284127656875252,0.10440718299906929,0.04779683174082327,0.1712441592754528,0.09256653330959193,0.0,0.039354838951602515,0.10308643533829524,0.1242851790550404,0.1027245446658954,0.014158884106896223,0.061784429766387455,0.025826177545189448,0.03465565186859521,0.09190683316307245,0.0539352388626511,0.06658757654683606,0.0311135215081015,0.1122141230541372,0.08658126391577393,0.09502765963478602,0.06261238528509488,0.07312955412793706,0.1563317968773136,0.06997066392248166,0.11719690038598195,0.07667655073975771,0.11792382366185726,0.07442353918708397,0.03189059031113109,0.062131825306558176,0.10579916240241106,0.10995593737211827,0.07756665870350317,0.17892396430682683,0.05491015863467456,0.05469747664614142,0.13906606109914577,0.04639805488321226,0.11251163656293117,0.11455526667405933,0.1268574804112896,0.090990896894208,0.18265715286625592,0.12990506472613475,0.022005788971116068,0.15854027174017774,0.04943241250751913
Aguapé,0.02790226337762286,1.0000000000000002,0.04291981683728,0.07683662125360065,0.04349538605351938,0.21165143501373634,0.09561453557812798,0.004934884699074064,0.17359622829425864,0.07746670066586521,0.04836759556101183,0.04667330287322663,0.0,0.03726635218061188,0.025201203041578874,0.0791277719458443,0.01056282575910259,0.03972295151905571,0.03109524708725277,0.02296315795530302,0.050558620527477706,0.07340610947471886,0.10302358563401309,0.05896414364202427,0.09294973002609294,0.042296144873351774,0.11867381518101353,0.05134970287226218,0.009467167829767156,0.07899339784398023,0.021983374032474266,0.116267776116517,0.08797912948200165,0.09395206687528879,0.022872669574827535,0.08114037178236684,0.0570322247049529,0.052280172410259104,0.08314574509036542,0.01149465332003756,0.06701478218792153,0.0494374041029741,0.03885131424261105,0.12691937000376688,0.035321990410116105,0.05258958089431923,0.09026211368289237,0.06597172204420065,0.0046388764371861025,0.015244555794723195,0.08485021309354922,0.10830756951038988,0.11359544578284438,0.03571457266553511,0.03532563407805777,0.0319475445607291,0.5826778743298686,0.07190344995174928,0.05644055370315176,0.061560713749825184,0.07307232774947996,0.034819690663023595,0.03191690011228632,0.08153787360441953,0.035797259039626314,0.048945770565550266,0.06551955454294277,0.06844817251432725,0.060571464264643604,0.024502868914785668,0.05487902943734414,0.032627887865787755,0.021128798630127465,0.08557625447516057,0.06403753108792304,0.04416271218732135,0.050271079567546624,0.1124186632351956,0.1345461007089188,0.023569043970205986,0.1442624565826773,0.03049755683799224,0.05373194599046603,0.024321746494798995,0.056888954240812306,0.05681894565882662,0.0493568433216859,0.06627164480485383,0.015376800602584428,0.091280786649882,0.04926160705031937
Alucinação,0.04277369474103663,0.04291981683728,1.0000000000000002,0.05666951547466334,0.0753351343125904,0.0965949813661723,0.08881680227606135,0.01793039963961631,0.08717838363488259,0.0836040220418491,0.053034172150649414,0.09146383020201712,0.0,0.05124943471274015,0.031118004420021002,0.11924241534173331,0.033171031455615695,0.10220942467675899,0.053599838244355505,0.08338672270921788,0.05426981246254198,0.14465132558260976,0.11151392806027517,0.070457263221995,0.10768626935737677,0.08059091717455408,0.09775577489596086,0.10118808198747281,0.008967758440584058,0.08534374022131853,0.05958303451031854,0.08100898234749955,0.08327826227321507,0.09903064272067746,0.022324198640549124,0.12345221832935824,0.04181224627029745,0.09175075295676682,0.07609500060077094,0.030566872877994276,0.12440795824697756,0.07891701035571626,0.030026312872885874,0.0985266475003016,0.03915314337217917,0.02432729150109936,0.12036215413305355,0.04937889377762172,0.0,0.01770829036203152,0.08780030412691898,0.07614773630115806,0.08220093509681775,0.008730011283585574,0.07486028113107121,0.07744403934721196,0.036726408562469705,0.12601535496926367,0.05623993830895506,0.08927107347196629,0.06516582462621416,0.08319507433464891,0.024404246682150254,0.07742138055476931,0.03107077335401344,0.051092684825232854,0.12466666355892426,0.0571787285348614,0.11107365276813551,0.026981414287332344,0.11199526257913783,0.053043974668581184,0.053923068000823166,0.07670087775858322,0.07876588833615397,0.04676419471963239,0.03650133935841651,0.12502972664588582,0.037475584730094984,0.05460362585008214,0.10421590034163014,0.040297808129516076,0.07834496921362664,0.04137174034543114,0.06976364275144734,0.06429606090389164,0.07624885424074215,0.11254908301824725,0.021988306294518683,0.11684536633711919,0.027229454377626
Amor de Perdição,0.05853534754850062,0.07683662125360065,0.05666951547466334,1.0000000000000002,0.12867961341674977,0.07623260803325761,0.06961754691614175,0.037304171984512226,0.07934431068429326,0.09733776074295247,0.0726848013077395,0.13563531040194302,0.0,0.07061482595480406,0.030715354549297413,0.19412657544301737,0.08373040950043845,0.08701573101833272,0.06279193030894198,0.027786807014707475,0.02938166743634671,0.10113060927643758,0.09371894796448861,0.07946930794023792,0.1118714943958408,0.09787282449191594,0.10192772281641538,0.14754388447730094,0.017497271579636854,0.0919738417254631,0.031723986662670796,0.13546912578880632,0.11269909058660708,0.08270270170641092,0.03842943722899962,0.0786384238756329,0.03386437370771764,0.09104366497531777,0.11807974714282676,0.021768156661877893,0.1047307711545735,0.09838109647189876,0.013038707717769793,0.18703892190009289,0.08346711347360859,0.03633187544066322,0.11544699299039804,0.07295320677946351,0.0,0.03265234094285803,0.05951047730333949,0.06852001287888662,0.12246969698857574,0.004904818615282681,0.08760540623472159,0.03100749269039286,0.03184306184831266,0.10317713615245279,0.11078330779630918,0.1082598149251373,0.047764604664119505,0.05852131645378045,0.039412341037040166,0.051397699185977676,0.03330676634141071,0.12055779026452924,0.16994441377820896,0.06948639369150099,0.0984205923241762,0.024866803812350763,0.13438078229738581,0.04996577639597133,0.035026935886389735,0.10329110537452708,0.09070830636376451,0.1090641915185474,0.04951165898376766,0.11057533715271148,0.05987814556412056,0.05307960848656857,0.08304893471767397,0.06661264507746702,0.07310561125591214,0.03262746385724811,0.11142087308803751,0.0741416824813775,0.06655035881456957,0.09203706656256058,0.019572495368757055,0.15489039470735427,0.08993442172560391
Amor e Crime,0.04713324425784374,0.04349538605351938,0.0753351343125904,0.12867961341674977,1.0000000000000004,0.16475567896699828,0.09287651582492916,0.03130135389886334,0.0669941493127644,0.12241062208513909,0.0796060371659437,0.23605715584523362,0.0,0.04370703446174622,0.03599801709287474,0.17366415809824323,0.07616232978495402,0.08639034699514954,0.05007714982815977,0.039960685706338935,0.012059922996463279,0.07265943499915521,0.09025372724027013,0.0483034565489002,0.1456520210431926,0.06227765378367492,0.07944371331270457,0.07392105210496916,0.007687758784363856,0.1229208182730836,0.05723392021953185,0.09023977008126251,0.07779544251783665,0.09169667391878822,0.033913922555936615,0.07125376370611662,0.04358249600619717,0.08513059764654406,0.06600640276134143,0.029428738931645573,0.0680177944272452,0.06824011097367369,0.020037504089132237,0.18750922942676065,0.07442500751515813,0.03662390763905031,0.15447522881050735,0.07506308096614461,0.0,0.016586185864408312,0.04517786715030764,0.08842228580021369,0.09158991632822665,0.009686213364898603,0.06547385450451829,0.031052125351806202,0.029078372781249643,0.10144681301537711,0.10915208581626273,0.10925477411777154,0.10052984273065836,0.05401670365943375,0.04535309628655548,0.07288234891376166,0.08359066689983435,0.09982061798324036,0.13959730299112194,0.09320954290743873,0.12715770220372524,0.02197434443970979,0.05876169372306107,0.07954346551570418,0.03650963005166937,0.097986216016704,0.0749617672587909,0.08614520364016635,0.03076018843769538,0.11851008970733447,0.07060179868872848,0.06665796653752568,0.09026603227554464,0.06433796694893354,0.07329832719458562,0.03209535556320008,0.13013281093114903,0.0631654981506051,0.05513564752250533,0.11091673384285335,0.024850301431848302,0.13687311199604973,0.07379581961574545
Apenas Um Rapaz Latino Americano,0.13202616081274887,0.21165143501373634,0.0965949813661723,0.07623260803325761,0.16475567896699828,1.0000000000000007,0.141967831051612,0.07707092415975486,0.12208855079778612,0.1448709040093269,0.13915500528424274,0.08430476190892754,0.0,0.10140980837748594,0.06239945003506115,0.13554186751343614,0.049302195469507794,0.13452550073964173,0.08033692655732595,0.05976374100664388,0.051557647517608086,0.15043612286315305,0.19489304569948712,0.108836710828622,0.24607093339180144,0.12267271677896092,0.2003815180879059,0.12959919214005544,0.012238040071945611,0.15192823482065704,0.09401936126516783,0.13388171802146803,0.14194303590227755,0.15540536086419168,0.06221047031587453,0.14721449866033928,0.07877049073561496,0.1876459328636826,0.10798937985451866,0.03235436365906235,0.22699377856833763,0.18264839653666987,0.06569974158156264,0.20367493692934213,0.07616434628180699,0.055731704970363734,0.2040393524951924,0.09197927695387625,0.013970754439607722,0.03498132406401672,0.1917229843470225,0.20150732700008728,0.17819424284604868,0.026396171128605428,0.10084640626908054,0.05474218861609421,0.2008723832271795,0.1619103140692044,0.10611697725411212,0.16655792017120208,0.11338337678068659,0.08636020958523595,0.08630637813410878,0.10682007058808837,0.05629572786402488,0.0905817715925246,0.16388924350657405,0.08214222701156404,0.147197653385847,0.09043226438369711,0.1389910129333027,0.11573121405360241,0.0491607425272272,0.09819490274380431,0.11446892936592583,0.11724337051338314,0.07705372092640216,0.22210620936728814,0.118128135822877,0.08534440630967244,0.22416154286681708,0.05669064351997539,0.13195353191296524,0.11652432434601864,0.12218308869993608,0.15409010536456566,0.13450596051237795,0.17499527471181694,0.0250434946590189,0.16722677915341752,0.09867696839615893
Arte Final,0.101326078632705,0.09561453557812798,0.08881680227606135,0.06961754691614175,0.09287651582492916,0.141967831051612,0.9999999999999996,0.0622197923743655,0.08113021254863827,0.1449030456004141,0.11279181689340803,0.07902818499609054,0.0,0.061426761877476,0.05231806197298553,0.1404742305263074,0.026372931963457285,0.12052511381661288,0.0441353477422584,0.053277093330810536,0.10033628629112272,0.08515626953064709,0.1266048977745627,0.06988229262413694,0.23595716332084024,0.1001535608542742,0.18908805910380644,0.17081192221099764,0.010701588923850315,0.10210425387709945,0.057412704351659814,0.0902605136897891,0.1536014643996802,0.08847764591452698,0.026497674575621837,0.09960071245440322,0.07342764320698536,0.14066389124890719,0.140837083952535,0.02244365356882496,0.11742013025316678,0.08849492763342577,0.025013178555959754,0.16412871309237248,0.048012188367983336,0.03993016833115672,0.14041598584057702,0.11713387909608425,0.0,0.030479416944060127,0.10270139232302929,0.12620929258634628,0.14046159524397112,0.005771300221123349,0.045090672160749745,0.04521592129782668,0.05489090650455886,0.1420532427251206,0.08045500314798741,0.0551475757746421,0.0699735636293478,0.08071914625357393,0.02502672076246278,0.07915352803782703,0.04898199312880716,0.13101721247243023,0.1390767120125747,0.07480891139749836,0.09646651658786556,0.03205106551402516,0.08842807782725043,0.04134161843204159,0.039903132253165274,0.09770830532012936,0.0868627339884467,0.12216774521419792,0.06698833742184124,0.17825170062459728,0.09838031416377503,0.029778457402828053,0.07113838919919986,0.03881816602902667,0.06388539789967125,0.041136591730563554,0.08536407033355722,0.10637717241610803,0.05857839467400313,0.11777084155071034,0.05563217218986501,0.1186894706031727,0.04375773459621138
Até Amanhã,0.02730603780886833,0.004934884699074064,0.01793039963961631,0.037304171984512226,0.03130135389886334,0.07707092415975486,0.0622197923743655,1.0,0.0181838231188973,0.041688101210629096,0.08896788399349351,0.06328928084560279,0.0,0.006333858027868764,0.07603712024254616,0.026681587000206425,0.023572806967540893,0.0934450032472739,0.00642581143605281,0.006874351799430051,0.003727708212825247,0.0480473699874784,0.03504262049048004,0.008920300979717043,0.05303322999223712,0.09524755992353813,0.048128003331332485,0.04613569585697004,0.0,0.08816112846986121,0.031587115031670825,0.0742007931106317,0.0747452923056601,0.05346418531341683,0.014696325224147508,0.027625792282449768,0.018673931538062953,0.03130704213250487,0.07387808029804144,0.0011610500662260768,0.08412387417607886,0.04252641935881494,0.040917880508556645,0.06088886018807911,0.013302203973901486,0.02208241691987827,0.02439049881741055,0.013051193724266821,0.0,0.009612960131751492,0.04554517154812596,0.03355841441209708,0.06457044252030573,0.0,0.029861620190745706,0.033113962114933414,0.07179780787240346,0.04068067143350133,0.04336942648540705,0.030644674116128624,0.03503097347255069,0.025644959954674917,0.015471363531947627,0.03512631774305964,0.009804054773435671,0.05959325598603887,0.07911293423805944,0.006630213275783817,0.02426306226732569,0.024286405145887174,0.040128346046093784,0.04370189812703398,0.0013059489277109134,0.039708197775768755,0.04660816718628629,0.08861432079060941,0.020066973663830978,0.06079297917485322,0.042668548311277595,0.046359950467020024,0.048956063976803445,0.023873453030389555,0.026490924295430554,0.02080940096111394,0.0412714038171958,0.02107691560388165,0.018843230400771776,0.08259268024147011,0.06083789746629473,0.022673323132791343,0.051114893864115676
Ate Mais Ver,0.047725075047187746,0.17359622829425864,0.08717838363488259,0.07934431068429326,0.0669941493127644,0.12208855079778612,0.08113021254863827,0.0181838231188973,1.0000000000000007,0.11929882207226769,0.05793884358145582,0.07596866866435016,0.0,0.021790180605378903,0.03247298349612228,0.13488780673758266,0.030868025906003373,0.07160583022639588,0.045220840908372674,0.015603823763275355,0.09789414032955356,0.07423006398494876,0.10077348722435193,0.053234077957466354,0.10101467402359192,0.058688044882217676,0.05926044330069878,0.06966826613626619,0.004889744072088784,0.07041991957299269,0.05246007551754223,0.1206078166609072,0.08314204300876311,0.10371442208799488,0.023280752820645054,0.12387577921992624,0.046294115852168784,0.06199028528490882,0.1403879614633797,0.028642254241127752,0.056410868230362184,0.0739854606894457,0.03194107677369903,0.09061675118765977,0.04544598158643609,0.02845076514586133,0.09645673083470534,0.06809531706725111,0.0037916366892607385,0.028697872247868746,0.07209939817378855,0.1327371521525728,0.11516679473207468,0.12110463095261664,0.04312118566130587,0.04714173644293816,0.15514500960102898,0.046129376522816894,0.06349638564177228,0.12431343128506181,0.09186625786381873,0.033181259180574,0.023940403325004713,0.07295337746096105,0.03209342592024148,0.09417389456696612,0.1015983478497681,0.09400870722752103,0.07949335546190166,0.015793625166372397,0.0880268979819033,0.056680792952592,0.043461616843270476,0.09373699756025256,0.0931120722523248,0.035556859508146244,0.05371434924212822,0.10721909722082869,0.06707458617017413,0.027508997966108784,0.1167660733721289,0.06893878070659348,0.08565163638737128,0.02493149827163365,0.10519665093694563,0.04542906654424999,0.05814907489285545,0.04914109879766772,0.028897205899176073,0.09544463354116299,0.04606896062450094
Baihuno,0.12439727646802949,0.07746670066586521,0.0836040220418491,0.09733776074295247,0.12241062208513909,0.1448709040093269,0.1449030456004141,0.041688101210629096,0.11929882207226769,1.0000000000000004,0.18125875964001384,0.15106633336181907,0.0,0.08613831520100362,0.04817337477367456,0.1440608672145491,0.05216156287880249,0.14676608287794637,0.11673063158293767,0.08525617291499334,0.09417438749452438,0.15114851077163335,0.19900581671402168,0.10541101097738358,0.18647452919528062,0.1203386806174752,0.15301366016748105,0.15978915959167814,0.02013109448540165,0.12310613285819653,0.111597351018073,0.15230964201298522,0.13065277428906907,0.1424675574907525,0.0691929201751532,0.1349066530174713,0.07207155789020704,0.1411654147264609,0.17790050774240934,0.03481989917273109,0.2008745518288722,0.12221877884167535,0.08955206732952095,0.21522731695298608,0.11347133660665432,0.058016333618310434,0.20611324030578032,0.1623216934626044,0.007972334557038628,0.048378859923272725,0.17388176432650282,0.14312370308867448,0.21293981349938745,0.01647888317866922,0.1072748669328392,0.07552819917375773,0.04083453165586197,0.13995045496428832,0.1540233291233793,0.15001778105305968,0.0755169811006748,0.08294460890082801,0.10015716264048248,0.13367391406337173,0.0941994796011074,0.16164040363985474,0.17002400829719344,0.14618189348036525,0.11463570934570719,0.04875137597009696,0.12630727313236334,0.10073345970901985,0.06017382763503886,0.13811855812585397,0.1275690858086667,0.13348611164428825,0.06368773737809993,0.24750379974381656,0.11268039076585963,0.08216540005037445,0.15224700884180498,0.09096020763762373,0.11763099269696405,0.03350520975700256,0.1688983948979789,0.11038295515621593,0.18305140382016324,0.1614489555731768,0.07538202727876019,0.20551654818446638,0.07626366440433319
