ngram,frequencia
preferi-ser assassino,1
assassino amante,1
amante leal,1
leal bandidos,1
bandidos úteis,1
úteis amantes,1
amantes fúteis,1
fúteis vulgaridade,1
vulgaridade mal,1
mal amar,1
amar agora,1
agora crime,1
crime paixão,1
paixão redime,1
redime obsessão,1
obsessão sublime,1
sublime ideal,1
ideal tudo,1
tudo romance,1
romance tudo,1
tudo poema,1
poema apenas,1
cenas fazer,1
fazer mal,2
mal amor,2
amor glória,1
glória sofrer,1
sofrer paz,1
paz historia,1
historia dor,1
dor buscar,1
buscar amor,1
amor vitória,1
vitória voltar,1
voltar feliz,1
feliz memória,1
memória paraíso,1
paraíso terreal,1
terreal apenas,1
apenas rapaz,4
rapaz latino-americano,4
latino-americano dinheiro,4
dinheiro banco,4
banco parentes,3
parentes importantes,3
importantes vindo,3
vindo interior,3
interior trago,1
trago cabeça,2
cabeça canção,2
canção rádio,2
rádio antigo,2
antigo compositor,2
compositor baiano,2
baiano dizia,2
dizia tudo,2
tudo divino,2
divino tudo,2
tudo maravilhoso,2
maravilhoso trago,1
maravilhoso ouvido,1
ouvido muitos,1
muitos discos,1
discos conversado,1
conversado pessoas,1
pessoas caminhado,1
caminhado caminho,1
caminho papo,1
papo som,1
som dentro,1
noite amigo,1
amigo sequer,1
sequer 'inda,1
'inda acredite,1
acredite nisso,1
nisso tudo,1
tudo muda,1
muda toda,1
toda razão,1
razão apenas,1
interior sei,2
sei tudo,2
tudo proibido,2
proibido aliás,2
aliás queria,2
queria dizer,2
dizer tudo,2
tudo permitido,2
permitido beijar,2
beijar escuro,2
escuro cinema,2
cinema ninguém,2
ninguém vê,2
vê sei,1
vê peça,1
peça faça,1
faça canção,1
canção deve,1
deve correta,1
correta branca,1
branca suave,1
suave limpa,1
limpa leve,1
leve sons,1
sons palavras,1
palavras navalhas,1
navalhas posso,1
posso cantar,1
cantar convém,1
convém querer,1
querer ferir,1
ferir ninguém,1
ninguém preocupe,1
preocupe amigo,1
amigo horrores,1
horrores digo,1
digo somente,1
somente canção,1
canção vida,1
vida realmente,1
realmente diferente,1
diferente quer,1
quer dizer,1
dizer vivo,1
vivo pior,1
pior apenas,1
banco favor,1
favor saque,1
saque arma,1
arma saloon,1
saloon apenas,1
apenas cantor,1
cantor cantar,1
cantar ainda,2
ainda quiser,2
quiser atirar,2
atirar mate-me,2
mate-me logo,2
logo tarde,2
tarde três,2
três noite,2
noite compromisso,2
compromisso posso,2
posso faltar,2
faltar causa,2
causa cantar,1
causa apenas,1
sei nada,1
nada divino,1
divino nada,1
nada maravilhoso,1
maravilhoso nada,1
nada secreto,1
secreto nada,1
nada misterioso,1
misterioso desculpe,1
desculpe qualquer,1
qualquer coisa,3
coisa passe,1
passe outro,1
outro dia,1
dia agora,1
agora volto,1
volto logo,1
logo perturbe,1
perturbe sessão,1
sessão nostalgia,1
nostalgia tia,1
tia tia,1
tia alô,1
alô presente,2
presente chegando,2
chegando alô,2
alô futuro,2
futuro vou,2
vou alô,1
vou ora,1
ora ora,5
ora ouvi,1
ouvi dizer,2
dizer gente,1
gente quase,1
quase honesta,1
honesta ora,1
ora reis,1
reis festa,1
festa ora,2
ora confiam,1
confiam mim,1
mim tratam,1
tratam tratam,1
tratam mulher,1
mulher preto,1
preto todos,1
todos entramos,1
entramos gueto,1
gueto coisa,1
coisa entrou,1
entrou ar,1
ar pegue,1
pegue leve,2
leve empurre,2
empurre breve,2
breve conheço,2
conheço lugar,3
lugar pegue,1
lugar dancei,1
dancei sei,4
sei dancei,4
dancei dancei,4
dancei bem,4
bem vem,6
vem ainda,4
ainda dancei,3
ainda então,1
então friends,1
friends bastou,1
bastou vender,1
vender alma,1
alma diabo,2
diabo vem,1
vem seguindo,1
seguindo mau,1
mau exemplo,1
exemplo entrando,1
entrando numas,1
numas vender,1
vender própria,1
própria mãe,1
mãe alguém,1
alguém atreve,1
atreve ir,1
ir comigo,1
comigo além,1
além shopping,1
shopping center,1
center hein,1
hein hein,1
hein donde,1
donde están,1
están los,1
los estudiantes,1
estudiantes rapazes,1
rapazes latino-americanos,1
latino-americanos aventureiros,1
aventureiros anarquistas,1
anarquistas artistas,1
artistas sem-destino,1
sem-destino rebeldes,1
rebeldes experimentadores,1
experimentadores benditos,1
benditos malditos,1
malditos renegados,1
renegados sonhadores,1
sonhadores esperávamos,1
esperávamos alquimistas,1
alquimistas vem,1
vem chegando,1
chegando bárbaros,1
bárbaros arrivistas,1
arrivistas consumistas,1
consumistas mercadores,1
mercadores minas,1
minas homens,1
homens céu,1
céu terra,1
terra nada,1
nada sex,1
sex drugs,1
drugs rock,1
rock roll,6
roll adeus,1
adeus armas,2
armas perguntes,1
perguntes sinos,1
sinos dobram,1
dobram dobram,1
dobram ri,1
ri ora,1
ora senhoras,1
senhoras ora,1
ora senhores,1
senhores boa,1
boa noite,1
noite lustrada,1
lustrada neon,1
neon último,1
último sair,1
sair apague,1
apague luz,1
luz aeroporto,1
aeroporto ainda,1
ainda mal,1
mal pergunte,1
pergunte saída,1
saída aeroporto,1
aeroporto amanhã,1
amanhã homem,2
homem quiser,2
quiser chover,2
chover volto,2
volto viver,2
viver mulher,2
mulher amanhã,2
amanhã amanhã,2
amanhã vir,2
vir amanhã,2
amanhã mando,2
mando alguém,2
alguém dizer,2
dizer acorda,1
acorda amor,1
amor sono,1
sono acabou,1
acabou maria,1
maria bonita,1
bonita vem,1
vem fazer,1
fazer café,1
café homem,1
homem comum,2
comum inda,1
inda levantou,1
levantou policia,1
policia pé,1
pé amanhã,1
dizer ate,1
ate ver,2
ver ate,1
ver camarada,1
camarada contigo,1
contigo mim,1
mim ainda,1
ainda ti,1
ti vou,1
vou indo,2
indo dois,1
dois qualquer,1
qualquer distancia,1
distancia tornada,1
tornada nada,1
nada assinala,1
assinala novo,1
novo encontro,1
encontro long,1
long gesto,1
gesto bie,1
bie leu,1
leu diga,1
diga sorte,1
sorte fale,1
fale adeus,1
adeus enruga,1
enruga olhar,1
olhar compassivo,1
compassivo sob,1
sob sol,3
sol nada,1
nada velho,1
velho vil,1
vil morte,1
morte viu,1
viu vida,1
vida novidade,1
novidade estar,1
estar vivo,2
vivo tempo,1
tempo fez-te,2
fez-te graça,2
graça visitares,2
visitares norte,2
norte leva,2
leva notícias,1
notícias mim,2
mim diz,1
diz àqueles,1
àqueles província,1
província viste,1
viste perigo,1
perigo cidade,1
cidade grande,6
grande enfim,2
enfim conta,1
conta amigos,1
amigos doutores,1
doutores abandonei,1
abandonei escola,1
escola cantar,1
cantar cabaré,1
cabaré baiões,1
baiões bárbaros,1
bárbaros baihunos,1
baihunos mesma,1
mesma dura,1
dura ternura,1
ternura aprendi,1
aprendi estrada,1
estrada che,1
che metrópole,1
metrópole violenta,1
violenta extermina,1
extermina miseráveis,1
miseráveis negros,1
negros párias,1
párias meninos,1
meninos estação,1
estação inferno,1
inferno babilônia,1
babilônia dante,1
dante eterno,1
eterno minas,1
minas outros,1
outros destinos,1
destinos conta,1
conta àquela,1
àquela namorada,1
namorada vai,1
vai sempre,1
sempre céu,1
céu virar,1
virar estrela,1
estrela botas,1
botas couro,1
couro combinam,1
combinam cabelo,1
cabelo tão,1
tão grande,1
grande quanto,1
quanto toca,1
toca família,1
família dá-lhe,1
dá-lhe abraço,1
abraço apertado,1
apertado todos,1
todos possa,1
possa abarcar,1
abarcar fora-da-lei,1
fora-da-lei procurado,1
procurado convém,1
convém família,1
família unida,1
unida contra,1
contra rebelar,1
rebelar cai,1
cai muro,1
muro berlim,1
berlim cai,1
cai sobre,1
sobre ti,1
ti sobre,1
sobre mim,2
mim nova,1
nova ordem,1
ordem mundial,1
mundial camisa-de-força-de-vênus,1
camisa-de-força-de-vênus compraria,1
compraria menos,1
menos velho,1
velho gozo,1
gozo animal,1
animal tempo,1
leva noticias,1
noticias mim,1
mim cara,3
cara caiu,1
caiu vida,1
vida vendo,1
vendo mundo,1
mundo tão,1
tão certo,1
certo assim,1
assim tão,3
tão perto,2
perto fim,1
fim dá,1
dá flôres,1
flôres comandante,1
comandante dia,1
dia dispensou,1
dispensou serviço,1
serviço militar,2
militar precisa,1
precisa heróis,1
heróis feras,1
feras matam,1
matam guerra,1
guerra choram,1
choram volta,1
volta lar,1
lar gênios-do-mal,1
gênios-do-mal tropicais,1
tropicais poderosos,1
poderosos bestiais,1
bestiais vergonhas,1
vergonhas mãe,1
mãe gentil,1
gentil chico,1
chico gil,1
gil caetano,1
caetano cantaria,1
cantaria todo,1
todo ufano,1
ufano anais,1
anais guerra,1
guerra civil,3
civil pastor,1
pastor igreja,1
igreja reza,1
reza ovelha,1
ovelha negra,1
negra jamais,1
jamais vai,1
vai ficar,2
ficar branquinha,1
branquinha vendi,1
vendi alma,1
diabo diabo,1
diabo viu,1
viu mau,1
mau negócio,1
negócio nisso,1
nisso comprar,1
comprar pai,1
pai mãe,1
mãe perguntarem,1
perguntarem jeito,1
jeito onde,1
onde gente,2
gente errou,1
errou elogiando,1
elogiando loucura,1
loucura pondo-me,1
pondo-me sonhadores,1
sonhadores diz,1
diz show,1
show começou,3
começou trogloditas,1
trogloditas traficantes,1
traficantes neonazistas,1
neonazistas farsantes,1
farsantes barbárie,1
barbárie devastação,1
devastação rinoceronte,1
rinoceronte decente,1
decente gente,1
gente demente,1
demente ocidente,1
ocidente tão,1
tão cristão,1
cristão ando,1
ando pós-modernamente,1
pós-modernamente apaixonado,1
apaixonado nova,1
nova geladeira,1
geladeira primeira,1
primeira escrava,1
escrava branca,1
branca comprei,1
comprei veio,1
veio fez,1
fez revolução,1
revolução eterno,1
eterno feminino,1
feminino conforto,1
conforto industrial,1
industrial injetou-se,1
injetou-se veia,1
veia dei,1
dei bandeira,1
bandeira fé,1
fé nessa,1
nessa deusa,1
deusa gorda,1
gorda tecnologia,1
tecnologia gelei,1
gelei pura,1
pura emoção,1
emoção ora,1
ora desde,1
desde adolescente,1
adolescente arrepio,1
arrepio ante,1
ante empregada,1
empregada debutante,1
debutante elétrica,1
elétrica doméstica,1
doméstica então,1
então sex-appeal,1
sex-appeal dá-me,1
dá-me frio,1
frio barriga,1
barriga deusa,1
deusa fertilidade,1
fertilidade ready,1
ready made,2
made duchamp,1
duchamp passou,1
passou amante,1
amante virou,1
virou super-star,1
super-star mulher,1
mulher ideal,1
ideal mãe,1
mãe outra,1
outra puta,1
puta amiga,1
amiga mister,1
mister andy,2
andy papa,2
papa pop,2
pop outro,2
outro amigo,2
amigo xarope,2
xarope cansaram,2
cansaram dizer,2
dizer deus,2
deus dinheiro,2
dinheiro sexo,2
sexo ideal,2
ideal pátria,2
pátria família,2
família frigidaire,2
frigidaire freud,2
freud rapaziada,2
rapaziada vir,2
vir cair,2
cair cantada,2
cantada dum,2
dum objeto,2
objeto mulher,2
mulher confundo,1
confundo madame,1
madame classe,1
classe média,1
média mame,1
mame céu,1
céu prazo,1
prazo der,1
der brancorno,1
brancorno abre,1
abre fecha,1
fecha sensual,1
sensual dessa,1
dessa senhora,1
senhora ascéptica,1
